Car camera not found.
Steering angle: -33
0: 0.0 cm/s
1: 0.0 cm/s
2: 0.0 cm/s
3: 0.0 cm/s
4: 0.0 cm/s
5: 0.0 cm/s
6: 0.0 cm/s
7: 0.0 cm/s
8: 0.0 cm/s
9: 0.0 cm/s
10: 0.0 cm/s
11: 0.0 cm/s
12: 0.0 cm/s
13: 0.0 cm/s
14: 0.0 cm/s
15: 0.0 cm/s
16: 0.0 cm/s
17: 0.0 cm/s
18: 0.0 cm/s
19: 0.0 cm/s
20: 0.0 cm/s
21: 0.0 cm/s
22: 0.0 cm/s
23: 0.0 cm/s
24: 0.0 cm/s
25: 0.0 cm/s
26: 0.0 cm/s
27: 0.0 cm/s
28: 0.0 cm/s
29: 0.0 cm/s
30: 0.0 cm/s
31: 0.0 cm/s
32: 0.0 cm/s
33: 0.0 cm/s
34: 0.0 cm/s
35: 0.0 cm/s
36: 0.0 cm/s
37: 0.0 cm/s
38: 0.0 cm/s
39: 0.0 cm/s
40: 0.0 cm/s
41: 0.0 cm/s
42: 0.0 cm/s
43: 0.0 cm/s
44: 0.0 cm/s
45: 0.0 cm/s
46: 0.0 cm/s
47: 0.0 cm/s
48: 0.0 cm/s
49: 0.0 cm/s
50: 0.0 cm/s
51: 0.0 cm/s
52: 0.0 cm/s
53: 0.0 cm/s
54: 0.0 cm/s
55: 0.0 cm/s
56: 0.0 cm/s
57: 0.0 cm/s
58: 0.0 cm/s
59: 0.0 cm/s
60: 0.0 cm/s
Steering angle: -28
0: 0.0 cm/s
1: 0.0 cm/s
2: 0.0 cm/s
3: 0.0 cm/s
4: 0.0 cm/s
5: 0.0 cm/s
6: 0.0 cm/s
7: 0.0 cm/s
8: 0.0 cm/s
9: 0.0 cm/s
10: 0.0 cm/s
11: 0.0 cm/s
12: 0.0 cm/s
13: 0.0 cm/s
14: 0.0 cm/s
15: 0.0 cm/s
16: 0.0 cm/s
17: 0.0 cm/s
18: 0.0 cm/s
19: 0.0 cm/s
20: 0.0 cm/s
21: 0.0 cm/s
22: 0.0 cm/s
23: 0.0 cm/s
24: 0.0 cm/s
25: 0.0 cm/s
26: 0.0 cm/s
27: 0.0 cm/s
28: 0.0 cm/s
29: 0.0 cm/s
30: 0.0 cm/s
31: 0.0 cm/s
32: 0.0 cm/s
33: 0.0 cm/s
34: 0.0 cm/s
35: 0.0 cm/s
36: 0.0 cm/s
37: 0.0 cm/s
38: 0.0 cm/s
39: 0.0 cm/s
40: 0.0 cm/s
41: 0.0 cm/s
42: 0.0 cm/s
43: 0.0 cm/s
44: 0.0 cm/s
45: 0.0 cm/s
46: 0.0 cm/s
47: 0.0 cm/s
48: 0.0 cm/s
49: 0.0 cm/s
50: 0.0 cm/s
